"Source","Epi week","Variant (Pango lineage)"
"Wastewater",16,"Omicron 24E (KP.3.1); Omicron 25A (LP.8.1); Recombinants; Omicron 24A (JN.1)"
"Wastewater",17,"Omicron 24A (BA.2.86); Omicron 24A (JN.1.18); Omicron 24A (JN.1.7); Omicron 24A (KP.2); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1); Omicron 24A (LB.1); Omicron 24H (LF.7.3.6); Omicron 25A (L.P.8.1); Omicron 25A (LP.8.1); Omicron 24F (XEC)"
"Wastewater",18,"Omicron 24A (BA.2.86); Omicron 24A (JN.1.7); Omicron 24A (KP.2); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1); Omicron 24H (LF.7.3.6)"
"Wastewater",19,"Omicron 24A (JN.1.18); Omicron 24A (LB.1); Omicron 24H (LF.7.3.6); Omicron 25A (LP.8.1); Omicron 24A (JN.1); Omicron 24A (PM.2); Omicron 24A (L.B.1)"
"Wastewater",20,"Omicron 24A (JN.1.18); Omicron 24A (PM.2); Omicron 24A (L.B.1); Omicron 20A (KS.1.3)"
"Wastewater",21,"Omicron 24A (BA.2.86); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1.1); Omicron XFC.1.1; Omicron 20A (KS.1.3)"
"Wastewater",22,"Omicron 24A (BA.2.86); Omicron 24A (L.B.1); Omicron XFC.1.1; Omicron 20A (KS.1.3)"
"Wastewater",23,"Omicron 24A (BA.2.86); Epsilon; Lambda; Kapa; Zeta; Eta; Gamma"
"Wastewater",24,"Omicron 24A (BA.2.86); Omicron 24C (KP.3); Omicron 24E (KP.3.1.1); Omicron 24E (KP.3.1.1); Omicron XFC.1.1; Omicron 20A (KS.1.3)"
"Wastewater",25,"Omicron 21J (BF.38.3); 20B (B.1.160.17)"
"Wastewater",27,"Omicron 24A (BA.2.86); Omicron 24A (JN.1.18); Omicron 21J (BF.38.3)"
"Wastewater",29,"Omicron 21L (BA.2.2); Omicron 21L (BA.2.1); 20A (B.1.36.27); 20A (B.1.409); Omicron 20A (Q.2); Omicron 20B (AZ.4)"
"Wastewater",30,"Omicron 21L (BA.2.2); Omicron 21L (BA.2.1)"
